location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Belize,BLZ,2021-04-22,38176,38176,NA,1079,714,9.6,9.6,NA,1796
Belize,BLZ,2021-04-23,39330,39330,NA,1154,724,9.89,9.89,NA,1821
Belize,BLZ,2021-04-24,NA,NA,NA,NA,722,NA,NA,NA,1816
Belize,BLZ,2021-04-25,NA,NA,NA,NA,721,NA,NA,NA,1813
Belize,BLZ,2021-04-26,NA,NA,NA,NA,719,NA,NA,NA,1808
Belize,BLZ,2021-04-27,41014,41014,NA,NA,718,10.31,10.31,NA,1806
Belize,BLZ,2021-04-28,42100,42100,NA,1086,715,10.59,10.59,NA,1798
Belize,BLZ,2021-04-29,NA,NA,NA,NA,631,NA,NA,NA,1587
Belize,BLZ,2021-04-30,NA,NA,NA,NA,536,NA,NA,NA,1348
Belize,BLZ,2021-05-01,NA,NA,NA,NA,545,NA,NA,NA,1371
Belize,BLZ,2021-05-02,NA,NA,NA,NA,555,NA,NA,NA,1396
Belize,BLZ,2021-05-03,44548,44548,NA,NA,565,11.2,11.2,NA,1421
Belize,BLZ,2021-05-04,NA,NA,NA,NA,613,NA,NA,NA,1542
Belize,BLZ,2021-05-05,46067,46067,NA,NA,567,11.59,11.59,NA,1426
Belize,BLZ,2021-05-06,46659,46659,NA,592,581,11.73,11.73,NA,1461
Belize,BLZ,2021-05-07,47675,47675,NA,1016,657,11.99,11.99,NA,1652
Belize,BLZ,2021-05-08,NA,NA,NA,NA,647,NA,NA,NA,1627
Belize,BLZ,2021-05-09,NA,NA,NA,NA,637,NA,NA,NA,1602
Belize,BLZ,2021-05-10,NA,NA,NA,NA,627,NA,NA,NA,1577
Belize,BLZ,2021-05-11,49358,49358,NA,NA,579,12.41,12.41,NA,1456
Belize,BLZ,2021-05-12,50292,50292,NA,934,604,12.65,12.65,NA,1519
Belize,BLZ,2021-05-13,NA,NA,NA,NA,695,NA,NA,NA,1748
Belize,BLZ,2021-05-14,52753,52753,NA,NA,725,13.27,13.27,NA,1823
Belize,BLZ,2021-05-15,NA,NA,NA,NA,701,NA,NA,NA,1763
Belize,BLZ,2021-05-16,NA,NA,NA,NA,676,NA,NA,NA,1700
Belize,BLZ,2021-05-17,53496,53496,NA,NA,651,13.45,13.45,NA,1637
Belize,BLZ,2021-05-18,64413,54909,9504,10917,2151,16.2,13.81,2.39,5410
Belize,BLZ,2021-05-19,66387,56719,9668,1974,2299,16.7,14.26,2.43,5782
Belize,BLZ,2021-05-20,NA,NA,NA,NA,2421,NA,NA,NA,6089
Belize,BLZ,2021-05-21,70548,60119,10429,NA,2542,17.74,15.12,2.62,6393
Belize,BLZ,2021-05-22,NA,NA,NA,NA,2556,NA,NA,NA,6428
Belize,BLZ,2021-05-23,NA,NA,NA,NA,2569,NA,NA,NA,6461
Belize,BLZ,2021-05-24,NA,NA,NA,NA,2583,NA,NA,NA,6496
Belize,BLZ,2021-05-25,71916,61282,10634,NA,1072,18.09,15.41,2.67,2696
Belize,BLZ,2021-05-26,NA,NA,NA,NA,940,NA,NA,NA,2364
Belize,BLZ,2021-05-27,74016,63064,10952,NA,793,18.61,15.86,2.75,1994
Belize,BLZ,2021-05-28,75243,64070,11173,1227,671,18.92,16.11,2.81,1688
Belize,BLZ,2021-05-29,NA,NA,NA,NA,677,NA,NA,NA,1703
Belize,BLZ,2021-05-30,NA,NA,NA,NA,683,NA,NA,NA,1718
Belize,BLZ,2021-05-31,NA,NA,NA,NA,690,NA,NA,NA,1735
Belize,BLZ,2021-06-01,76787,65271,11516,NA,696,19.31,16.42,2.9,1750
Belize,BLZ,2021-06-02,77607,65829,11778,820,663,19.52,16.56,2.96,1667
Belize,BLZ,2021-06-03,78530,66596,11934,923,645,19.75,16.75,3,1622
Costa Rica,CRI,2020-12-24,55,55,NA,NA,NA,0,0,NA,NA
Costa Rica,CRI,2020-12-25,NA,NA,NA,NA,240,NA,NA,NA,47
Costa Rica,CRI,2020-12-26,NA,NA,NA,NA,240,NA,NA,NA,47
Costa Rica,CRI,2020-12-27,NA,NA,NA,NA,240,NA,NA,NA,47
Costa Rica,CRI,2020-12-28,NA,NA,NA,NA,240,NA,NA,NA,47
Costa Rica,CRI,2020-12-29,NA,NA,NA,NA,240,NA,NA,NA,47
Costa Rica,CRI,2020-12-30,NA,NA,NA,NA,240,NA,NA,NA,47
Costa Rica,CRI,2020-12-31,NA,NA,NA,NA,240,NA,NA,NA,47
Costa Rica,CRI,2021-01-01,NA,NA,NA,NA,240,NA,NA,NA,47
Costa Rica,CRI,2021-01-02,NA,NA,NA,NA,240,NA,NA,NA,47
Costa Rica,CRI,2021-01-03,2455,2455,NA,NA,240,0.05,0.05,NA,47
Costa Rica,CRI,2021-01-04,NA,NA,NA,NA,414,NA,NA,NA,81
Costa Rica,CRI,2021-01-05,NA,NA,NA,NA,588,NA,NA,NA,115
Costa Rica,CRI,2021-01-06,NA,NA,NA,NA,763,NA,NA,NA,150
Costa Rica,CRI,2021-01-07,NA,NA,NA,NA,937,NA,NA,NA,184
Costa Rica,CRI,2021-01-08,9751,9751,NA,NA,1111,0.19,0.19,NA,218
Costa Rica,CRI,2021-01-09,NA,NA,NA,NA,1385,NA,NA,NA,272
Costa Rica,CRI,2021-01-10,NA,NA,NA,NA,1659,NA,NA,NA,326
Costa Rica,CRI,2021-01-11,NA,NA,NA,NA,1759,NA,NA,NA,345
Costa Rica,CRI,2021-01-12,NA,NA,NA,NA,1859,NA,NA,NA,365
Costa Rica,CRI,2021-01-13,NA,NA,NA,NA,1959,NA,NA,NA,385
Costa Rica,CRI,2021-01-14,NA,NA,NA,NA,2058,NA,NA,NA,404
Costa Rica,CRI,2021-01-15,24859,24804,55,NA,2158,0.49,0.49,0,424
Costa Rica,CRI,2021-01-16,NA,NA,NA,NA,2066,NA,NA,NA,406
Costa Rica,CRI,2021-01-17,NA,NA,NA,NA,1973,NA,NA,NA,387
Costa Rica,CRI,2021-01-18,29389,29257,132,NA,1880,0.58,0.57,0,369
Costa Rica,CRI,2021-01-19,NA,NA,NA,NA,1955,NA,NA,NA,384
Costa Rica,CRI,2021-01-20,NA,NA,NA,NA,2029,NA,NA,NA,398
Costa Rica,CRI,2021-01-21,NA,NA,NA,NA,2103,NA,NA,NA,413
Costa Rica,CRI,2021-01-22,NA,NA,NA,NA,2177,NA,NA,NA,427
Costa Rica,CRI,2021-01-23,NA,NA,NA,NA,2344,NA,NA,NA,460
Costa Rica,CRI,2021-01-24,NA,NA,NA,NA,2510,NA,NA,NA,493
Costa Rica,CRI,2021-01-25,48128,45707,2421,NA,2677,0.94,0.9,0.05,526
Costa Rica,CRI,2021-01-26,NA,NA,NA,NA,2490,NA,NA,NA,489
Costa Rica,CRI,2021-01-27,NA,NA,NA,NA,2303,NA,NA,NA,452
Costa Rica,CRI,2021-01-28,NA,NA,NA,NA,2116,NA,NA,NA,415
Costa Rica,CRI,2021-01-29,NA,NA,NA,NA,1929,NA,NA,NA,379
Costa Rica,CRI,2021-01-30,NA,NA,NA,NA,1742,NA,NA,NA,342
Costa Rica,CRI,2021-01-31,NA,NA,NA,NA,1555,NA,NA,NA,305
Costa Rica,CRI,2021-02-01,57701,45863,11838,NA,1368,1.13,0.9,0.23,269
Costa Rica,CRI,2021-02-02,NA,NA,NA,NA,1528,NA,NA,NA,300
Costa Rica,CRI,2021-02-03,NA,NA,NA,NA,1688,NA,NA,NA,331
Costa Rica,CRI,2021-02-04,NA,NA,NA,NA,1848,NA,NA,NA,363
Costa Rica,CRI,2021-02-05,NA,NA,NA,NA,2007,NA,NA,NA,394
Costa Rica,CRI,2021-02-06,NA,NA,NA,NA,2167,NA,NA,NA,425
Costa Rica,CRI,2021-02-07,NA,NA,NA,NA,2327,NA,NA,NA,457
Costa Rica,CRI,2021-02-08,75113,46750,28363,NA,2487,1.47,0.92,0.56,488
Costa Rica,CRI,2021-02-09,NA,NA,NA,NA,2578,NA,NA,NA,506
Costa Rica,CRI,2021-02-10,NA,NA,NA,NA,2668,NA,NA,NA,524
Costa Rica,CRI,2021-02-11,NA,NA,NA,NA,2758,NA,NA,NA,541
Costa Rica,CRI,2021-02-12,NA,NA,NA,NA,2848,NA,NA,NA,559
Costa Rica,CRI,2021-02-13,NA,NA,NA,NA,2939,NA,NA,NA,577
Costa Rica,CRI,2021-02-14,NA,NA,NA,NA,3029,NA,NA,NA,595
Costa Rica,CRI,2021-02-15,96948,54395,42553,NA,3119,1.9,1.07,0.84,612
Costa Rica,CRI,2021-02-16,NA,NA,NA,NA,2760,NA,NA,NA,542
Costa Rica,CRI,2021-02-17,NA,NA,NA,NA,2401,NA,NA,NA,471
Costa Rica,CRI,2021-02-18,NA,NA,NA,NA,2042,NA,NA,NA,401
Costa Rica,CRI,2021-02-19,NA,NA,NA,NA,1683,NA,NA,NA,330
Costa Rica,CRI,2021-02-20,NA,NA,NA,NA,1323,NA,NA,NA,260
Costa Rica,CRI,2021-02-21,NA,NA,NA,NA,964,NA,NA,NA,189
Costa Rica,CRI,2021-02-22,101183,57162,44021,NA,605,1.99,1.12,0.86,119
Costa Rica,CRI,2021-02-23,NA,NA,NA,NA,1511,NA,NA,NA,297
Costa Rica,CRI,2021-02-24,NA,NA,NA,NA,2417,NA,NA,NA,474
Costa Rica,CRI,2021-02-25,NA,NA,NA,NA,3323,NA,NA,NA,652
Costa Rica,CRI,2021-02-26,NA,NA,NA,NA,4229,NA,NA,NA,830
Costa Rica,CRI,2021-02-27,NA,NA,NA,NA,5135,NA,NA,NA,1008
Costa Rica,CRI,2021-02-28,NA,NA,NA,NA,6041,NA,NA,NA,1186
Costa Rica,CRI,2021-03-01,149812,103695,46117,NA,6947,2.94,2.04,0.91,1364
Costa Rica,CRI,2021-03-02,NA,NA,NA,NA,7507,NA,NA,NA,1474
Costa Rica,CRI,2021-03-03,NA,NA,NA,NA,8066,NA,NA,NA,1583
Costa Rica,CRI,2021-03-04,NA,NA,NA,NA,8626,NA,NA,NA,1693
Costa Rica,CRI,2021-03-05,193273,142049,51224,NA,9186,3.79,2.79,1.01,1803
Costa Rica,CRI,2021-03-06,NA,NA,NA,NA,8732,NA,NA,NA,1714
Costa Rica,CRI,2021-03-07,NA,NA,NA,NA,8279,NA,NA,NA,1625
Costa Rica,CRI,2021-03-08,204586,151841,52745,NA,7825,4.02,2.98,1.04,1536
Costa Rica,CRI,2021-03-09,NA,NA,NA,NA,7599,NA,NA,NA,1492
Costa Rica,CRI,2021-03-10,NA,NA,NA,NA,7373,NA,NA,NA,1447
Costa Rica,CRI,2021-03-11,NA,NA,NA,NA,7147,NA,NA,NA,1403
Costa Rica,CRI,2021-03-12,241724,187826,53898,NA,6922,4.75,3.69,1.06,1359
Costa Rica,CRI,2021-03-13,NA,NA,NA,NA,6686,NA,NA,NA,1312
Costa Rica,CRI,2021-03-14,NA,NA,NA,NA,6450,NA,NA,NA,1266
Costa Rica,CRI,2021-03-15,248082,190088,57994,NA,6214,4.87,3.73,1.14,1220
Costa Rica,CRI,2021-03-16,NA,NA,NA,NA,6200,NA,NA,NA,1217
Costa Rica,CRI,2021-03-17,NA,NA,NA,NA,6187,NA,NA,NA,1215
Costa Rica,CRI,2021-03-18,NA,NA,NA,NA,6174,NA,NA,NA,1212
Costa Rica,CRI,2021-03-19,NA,NA,NA,NA,6161,NA,NA,NA,1209
Costa Rica,CRI,2021-03-20,NA,NA,NA,NA,7171,NA,NA,NA,1408
Costa Rica,CRI,2021-03-21,NA,NA,NA,NA,8181,NA,NA,NA,1606
Costa Rica,CRI,2021-03-22,312425,206198,106227,NA,9192,6.13,4.05,2.09,1804
Costa Rica,CRI,2021-03-23,NA,NA,NA,NA,10422,NA,NA,NA,2046
Costa Rica,CRI,2021-03-24,348037,213404,134633,NA,11653,6.83,4.19,2.64,2288
Costa Rica,CRI,2021-03-25,NA,NA,NA,NA,11378,NA,NA,NA,2234
Costa Rica,CRI,2021-03-26,NA,NA,NA,NA,11102,NA,NA,NA,2179
Costa Rica,CRI,2021-03-27,NA,NA,NA,NA,10827,NA,NA,NA,2125
Costa Rica,CRI,2021-03-28,NA,NA,NA,NA,10551,NA,NA,NA,2071
Costa Rica,CRI,2021-03-29,384355,224092,160263,NA,10276,7.55,4.4,3.15,2017
Costa Rica,CRI,2021-03-30,NA,NA,NA,NA,9885,NA,NA,NA,1940
Costa Rica,CRI,2021-03-31,NA,NA,NA,NA,9495,NA,NA,NA,1864
Costa Rica,CRI,2021-04-01,NA,NA,NA,NA,10610,NA,NA,NA,2083
Costa Rica,CRI,2021-04-02,NA,NA,NA,NA,11725,NA,NA,NA,2302
Costa Rica,CRI,2021-04-03,NA,NA,NA,NA,12841,NA,NA,NA,2521
Costa Rica,CRI,2021-04-04,NA,NA,NA,NA,13956,NA,NA,NA,2740
Costa Rica,CRI,2021-04-05,NA,NA,NA,NA,15072,NA,NA,NA,2959
Costa Rica,CRI,2021-04-06,504930,291368,213562,NA,15072,9.91,5.72,4.19,2959
Costa Rica,CRI,2021-04-07,NA,NA,NA,NA,14868,NA,NA,NA,2919
Costa Rica,CRI,2021-04-08,NA,NA,NA,NA,14664,NA,NA,NA,2879
Costa Rica,CRI,2021-04-09,NA,NA,NA,NA,14460,NA,NA,NA,2839
Costa Rica,CRI,2021-04-10,NA,NA,NA,NA,14256,NA,NA,NA,2799
Costa Rica,CRI,2021-04-11,NA,NA,NA,NA,14053,NA,NA,NA,2759
Costa Rica,CRI,2021-04-12,586799,354291,232508,NA,13849,11.52,6.95,4.56,2719
Costa Rica,CRI,2021-04-13,NA,NA,NA,NA,13972,NA,NA,NA,2743
Costa Rica,CRI,2021-04-14,NA,NA,NA,NA,14298,NA,NA,NA,2807
Costa Rica,CRI,2021-04-15,NA,NA,NA,NA,14625,NA,NA,NA,2871
Costa Rica,CRI,2021-04-16,NA,NA,NA,NA,14952,NA,NA,NA,2935
Costa Rica,CRI,2021-04-17,NA,NA,NA,NA,15279,NA,NA,NA,2999
Costa Rica,CRI,2021-04-18,NA,NA,NA,NA,15606,NA,NA,NA,3064
Costa Rica,CRI,2021-04-19,698327,450593,247734,NA,15933,13.71,8.85,4.86,3128
Costa Rica,CRI,2021-04-20,NA,NA,NA,NA,16117,NA,NA,NA,3164
Costa Rica,CRI,2021-04-21,NA,NA,NA,NA,16301,NA,NA,NA,3200
Costa Rica,CRI,2021-04-22,NA,NA,NA,NA,16485,NA,NA,NA,3236
Costa Rica,CRI,2021-04-23,NA,NA,NA,NA,16670,NA,NA,NA,3272
Costa Rica,CRI,2021-04-24,NA,NA,NA,NA,16854,NA,NA,NA,3309
Costa Rica,CRI,2021-04-25,NA,NA,NA,NA,17038,NA,NA,NA,3345
Costa Rica,CRI,2021-04-26,818884,538682,280202,NA,17222,16.08,10.57,5.5,3381
Costa Rica,CRI,2021-04-27,NA,NA,NA,NA,17443,NA,NA,NA,3424
Costa Rica,CRI,2021-04-28,NA,NA,NA,NA,17664,NA,NA,NA,3468
Costa Rica,CRI,2021-04-29,NA,NA,NA,NA,17884,NA,NA,NA,3511
Costa Rica,CRI,2021-04-30,NA,NA,NA,NA,18105,NA,NA,NA,3554
Costa Rica,CRI,2021-05-01,NA,NA,NA,NA,18326,NA,NA,NA,3597
Costa Rica,CRI,2021-05-02,NA,NA,NA,NA,18546,NA,NA,NA,3641
Costa Rica,CRI,2021-05-03,950252,605099,345153,NA,18767,18.65,11.88,6.78,3684
Costa Rica,CRI,2021-05-04,NA,NA,NA,NA,19018,NA,NA,NA,3733
Costa Rica,CRI,2021-05-05,NA,NA,NA,NA,19269,NA,NA,NA,3783
Costa Rica,CRI,2021-05-06,NA,NA,NA,NA,19521,NA,NA,NA,3832
Costa Rica,CRI,2021-05-07,NA,NA,NA,NA,19772,NA,NA,NA,3881
Costa Rica,CRI,2021-05-08,NA,NA,NA,NA,20023,NA,NA,NA,3931
Costa Rica,CRI,2021-05-09,NA,NA,NA,NA,20274,NA,NA,NA,3980
Costa Rica,CRI,2021-05-10,1093931,657301,436630,NA,20526,21.47,12.9,8.57,4029
Costa Rica,CRI,2021-05-11,NA,NA,NA,NA,20817,NA,NA,NA,4086
Costa Rica,CRI,2021-05-12,NA,NA,NA,NA,21109,NA,NA,NA,4144
Costa Rica,CRI,2021-05-13,NA,NA,NA,NA,21400,NA,NA,NA,4201
Costa Rica,CRI,2021-05-14,NA,NA,NA,NA,21692,NA,NA,NA,4258
Costa Rica,CRI,2021-05-15,NA,NA,NA,NA,21984,NA,NA,NA,4316
Costa Rica,CRI,2021-05-16,NA,NA,NA,NA,22275,NA,NA,NA,4373
Costa Rica,CRI,2021-05-17,1251900,721882,530018,NA,22567,24.58,14.17,10.4,4430
Costa Rica,CRI,2021-05-18,NA,NA,NA,NA,23545,NA,NA,NA,4622
Costa Rica,CRI,2021-05-19,NA,NA,NA,NA,24523,NA,NA,NA,4814
Costa Rica,CRI,2021-05-20,NA,NA,NA,NA,25502,NA,NA,NA,5006
Costa Rica,CRI,2021-05-21,NA,NA,NA,NA,26480,NA,NA,NA,5198
Costa Rica,CRI,2021-05-22,NA,NA,NA,NA,27458,NA,NA,NA,5390
Costa Rica,CRI,2021-05-23,NA,NA,NA,NA,28436,NA,NA,NA,5582
Costa Rica,CRI,2021-05-24,1457802,867517,590285,NA,29415,28.62,17.03,11.59,5774
Costa Rica,CRI,2021-05-25,NA,NA,NA,NA,28800,NA,NA,NA,5654
Costa Rica,CRI,2021-05-26,NA,NA,NA,NA,28185,NA,NA,NA,5533
Costa Rica,CRI,2021-05-27,NA,NA,NA,NA,27570,NA,NA,NA,5412
Costa Rica,CRI,2021-05-28,NA,NA,NA,NA,26955,NA,NA,NA,5291
Costa Rica,CRI,2021-05-29,NA,NA,NA,NA,26340,NA,NA,NA,5171
Costa Rica,CRI,2021-05-30,NA,NA,NA,NA,25725,NA,NA,NA,5050
Costa Rica,CRI,2021-05-31,NA,NA,NA,NA,25110,NA,NA,NA,4929
Costa Rica,CRI,2021-06-01,1658685,1012339,646346,NA,25110,32.56,19.87,12.69,4929
El Salvador,SLV,2021-02-17,0,0,NA,NA,NA,0,0,NA,NA
El Salvador,SLV,2021-02-18,NA,NA,NA,NA,1200,NA,NA,NA,185
El Salvador,SLV,2021-02-19,NA,NA,NA,NA,1200,NA,NA,NA,185
El Salvador,SLV,2021-02-20,NA,NA,NA,NA,1200,NA,NA,NA,185
El Salvador,SLV,2021-02-21,NA,NA,NA,NA,1200,NA,NA,NA,185
El Salvador,SLV,2021-02-22,6000,6000,NA,NA,1200,0.09,0.09,NA,185
El Salvador,SLV,2021-02-23,NA,NA,NA,NA,1556,NA,NA,NA,240
El Salvador,SLV,2021-02-24,NA,NA,NA,NA,1810,NA,NA,NA,279
El Salvador,SLV,2021-02-25,16000,16000,NA,NA,2114,0.25,0.25,NA,326
El Salvador,SLV,2021-02-26,NA,NA,NA,NA,2018,NA,NA,NA,311
El Salvador,SLV,2021-02-27,NA,NA,NA,NA,1923,NA,NA,NA,296
El Salvador,SLV,2021-02-28,NA,NA,NA,NA,1827,NA,NA,NA,282
El Salvador,SLV,2021-03-01,NA,NA,NA,NA,1731,NA,NA,NA,267
El Salvador,SLV,2021-03-02,NA,NA,NA,NA,1331,NA,NA,NA,205
El Salvador,SLV,2021-03-03,NA,NA,NA,NA,930,NA,NA,NA,143
El Salvador,SLV,2021-03-04,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-05,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-06,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-07,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-08,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-09,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-10,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-11,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-12,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-13,NA,NA,NA,NA,529,NA,NA,NA,82
El Salvador,SLV,2021-03-14,25000,25000,NA,NA,529,0.39,0.39,NA,82
El Salvador,SLV,2021-03-15,NA,NA,NA,NA,978,NA,NA,NA,151
El Salvador,SLV,2021-03-16,NA,NA,NA,NA,1426,NA,NA,NA,220
El Salvador,SLV,2021-03-17,36000,36000,NA,NA,1874,0.56,0.56,NA,289
El Salvador,SLV,2021-03-18,41512,41512,NA,5512,2586,0.64,0.64,NA,399
El Salvador,SLV,2021-03-19,NA,NA,NA,NA,2867,NA,NA,NA,442
El Salvador,SLV,2021-03-20,NA,NA,NA,NA,3148,NA,NA,NA,485
El Salvador,SLV,2021-03-21,49000,49000,NA,NA,3429,0.76,0.76,NA,529
El Salvador,SLV,2021-03-22,NA,NA,NA,NA,3333,NA,NA,NA,514
El Salvador,SLV,2021-03-23,NA,NA,NA,NA,3238,NA,NA,NA,499
El Salvador,SLV,2021-03-24,NA,NA,NA,NA,3143,NA,NA,NA,485
El Salvador,SLV,2021-03-25,NA,NA,NA,NA,2784,NA,NA,NA,429
El Salvador,SLV,2021-03-26,NA,NA,NA,NA,2856,NA,NA,NA,440
El Salvador,SLV,2021-03-27,NA,NA,NA,NA,2928,NA,NA,NA,451
El Salvador,SLV,2021-03-28,70000,70000,NA,NA,3000,1.08,1.08,NA,463
El Salvador,SLV,2021-03-29,NA,NA,NA,NA,3993,NA,NA,NA,616
El Salvador,SLV,2021-03-30,NA,NA,NA,NA,4986,NA,NA,NA,769
El Salvador,SLV,2021-03-31,99855,99855,NA,NA,5979,1.54,1.54,NA,922
El Salvador,SLV,2021-04-01,120476,120476,NA,20621,8497,1.86,1.86,NA,1310
El Salvador,SLV,2021-04-02,133330,133330,NA,12854,9904,2.06,2.06,NA,1527
El Salvador,SLV,2021-04-03,NA,NA,NA,NA,10238,NA,NA,NA,1578
El Salvador,SLV,2021-04-04,NA,NA,NA,NA,10571,NA,NA,NA,1630
El Salvador,SLV,2021-04-05,NA,NA,NA,NA,9911,NA,NA,NA,1528
El Salvador,SLV,2021-04-06,NA,NA,NA,NA,9252,NA,NA,NA,1426
El Salvador,SLV,2021-04-07,160000,160000,NA,NA,8592,2.47,2.47,NA,1325
El Salvador,SLV,2021-04-08,NA,NA,NA,NA,7075,NA,NA,NA,1091
El Salvador,SLV,2021-04-09,180000,180000,NA,NA,6667,2.78,2.78,NA,1028
El Salvador,SLV,2021-04-10,NA,NA,NA,NA,7334,NA,NA,NA,1131
El Salvador,SLV,2021-04-11,200000,200000,NA,NA,8000,3.08,3.08,NA,1233
El Salvador,SLV,2021-04-12,264159,NA,NA,64159,16404,4.07,NA,NA,2529
El Salvador,SLV,2021-04-13,310793,308426,2367,46634,22304,4.79,4.76,0.04,3439
